MAVBLCKSCTN,MAVFROMSTTNCODE,MAVTOSTTNCODE,MAVSUBSCTNNAME,MANINTRDIST,MANNUMBLINES,MANNUMBSGNL,MANNUMBLVLCRSG,MAVSGNLTYPE,MAVGAUGE,MAVTRTNTYPE,MAVDVSNCODE,MADMDFYTIME,MAVMDFYBY,MACFREZFLAG,MACFLAG,MACSDNGBLCKSCTN,MACFREZRUNTIME,MADRUNTIMEMDFYTIME,MAVRUNTIMEMDFYBY,MANCOABLCKSCTN,MAVSCTNCODE,MANSTATUS,MANRBSDISTANCE,MANICMSINTRDIST,MAVTRAFFICTYPE,MADVALIDFROM,MADVALIDTO,MANMAXSPEED,MAVDRTN,MANSIGNALNUMB,MAVSIGNALPOSN
PDT-KTV,PDT,KTV,KTV-GPT,8.92,4,0,1,AT,B,E,WAT,4/25/2025,WAT1,Y,N,N,Y,10/28/2023,WAT,1,VSKP-PSA,1,8.92,8.92,CG,8/15/2018,12/31/2099,130,DN,0,
KTV-MVW,KTV,MVW,KRPU-KTV,8.93,2,0,1,AB,B,E,WAT,4/25/2025,WAT1,Y,N,N,Y,8/17/2023,WAT1,1,KTV-KRPU,1,8.93,8.93,CG,8/15/2018,12/31/2099,95,UP,0,
MVW-KTV,MVW,KTV,KRPU-KTV,8.93,2,0,1,AB,B,E,WAT,4/25/2025,WAT1,Y,N,N,Y,8/17/2023,WAT1,1,KRPU-KTV,1,8.93,8.93,CG,8/15/2018,12/31/2099,95,DN,0,
KPL-ALM,KPL,ALM,KTV-PSA,9.23,3,0,1,AT,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,VSKP-PSA,1,9.24,9.24,CG,8/15/2018,12/31/2099,130,DN,0,
ALM-KPL,ALM,KPL,KTV-PSA,9.23,3,0,1,AT,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,PSA-VSKP,1,9.23,9.24,CG,8/15/2018,12/31/2099,130,UP,0,
ULM-TIU,ULM,TIU,KTV-PSA,9.63,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,VSKP-PSA,1,9.63,9.63,CG,8/15/2018,12/31/2099,130,DN,0,
TIU-ULM,TIU,ULM,KTV-PSA,9.63,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,PSA-VSKP,1,9.63,9.63,CG,8/15/2018,12/31/2099,130,UP,0,
ULM-CHE,ULM,CHE,KTV-PSA,10.04,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,PSA-VSKP,1,10.04,10.05,CG,8/15/2018,12/31/2099,130,UP,0,
CHE-ULM,CHE,ULM,KTV-PSA,10.04,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,VSKP-PSA,1,10.05,10.05,CG,8/15/2018,12/31/2099,130,DN,0,
PDU-SGDM,PDU,SGDM,KTV-PSA,10.07,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,4/5/2023,WAT1,1,PSA-VSKP,1,10.07,10.07,CG,8/15/2018,12/31/2099,130,UP,0,
SGDM-PDU,SGDM,PDU,KTV-PSA,10.07,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,4/5/2023,WAT1,1,VSKP-PSA,1,10.07,10.07,CG,8/15/2018,12/31/2099,130,DN,0,
KUK-VZM,KUK,VZM,KTV-PSA,10.65,3,0,1,AT,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,VSKP-PSA,1,10.65,10.65,CG,8/15/2018,12/31/2099,130,DN,0,
VZM-KUK,VZM,KUK,KTV-PSA,10.65,3,0,1,AT,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,PSA-VSKP,1,10.65,10.65,CG,8/15/2018,12/31/2099,130,UP,0,
NML-VZM,NML,VZM,KTV-PSA,11.74,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,PSA-VSKP,1,11.74,11.75,CG,8/15/2018,12/31/2099,130,UP,0,
VZM-NML,VZM,NML,KTV-PSA,11.74,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,VSKP-PSA,1,11.75,11.75,CG,8/15/2018,12/31/2099,130,DN,0,
PSA-PUN,PSA,PUN,KTV-PSA,12.29,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,4/5/2023,WAT1,1,PSA-VSKP,1,12.29,12.29,CG,8/15/2018,12/31/2099,130,UP,0,
PUN-PSA,PUN,PSA,KTV-PSA,12.29,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,4/5/2023,WAT1,1,VSKP-PSA,1,12.29,12.29,CG,8/15/2018,12/31/2099,130,DN,0,
NML-GVI,NML,GVI,KTV-PSA,12.33,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,VSKP-PSA,1,12.33,12.33,CG,8/15/2018,12/31/2099,130,DN,0,
GVI-NML,GVI,NML,KTV-PSA,12.33,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,PSA-VSKP,1,12.33,12.33,CG,8/15/2018,12/31/2099,130,UP,0,
NWP-PUN,NWP,PUN,KTV-PSA,13.24,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,4/5/2023,WAT1,1,KTV-PSA,1,13.24,13.24,CG,8/15/2018,12/31/2099,110,DN,0,
PUN-NWP,PUN,NWP,KTV-PSA,13.24,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,4/5/2023,WAT1,1,KTV-PSA,1,13.24,13.24,CG,8/15/2018,12/31/2099,110,UP,0,
SGDM-CPP,SGDM,CPP,KTV-PSA,13.27,2,0,1,AB,B,E,WAT,7/15/2024,WAT1,Y,N,N,Y,3/30/2023,WAT1,1,KTV-PSA,1,13.27,13.27,CG,8/15/2018,12/31/2099,110,UP,0,
