MAVSTTNCODE,MAVSTTNNAME,MAVDVSNCODE,MACCLASSFLAG,MACJUNCTION,MACCABINFLAG,MACHALTFLAG,MACICFLAG,MAVCIVILDSTNAME,MAVCONSTITUENCY,MAVINTRLOCKSTD,MAVSGNLARRNGMENT,MACNOMSTTNCTONORDR,MACPRCDCROSSFCLTY,MACTRTNCHNG,MACCREWCHNG,MACFREZFLAG,MANXCALCCORD,MANYCALCCORD,MADMDFYTIME,MAVMDFYBY,MAVBLOCKINSTTYPE,MANSTARTBUFFER,MANENDBUFFER,MAVTRAFFICTYPE,MAVSTATUS,MACPFFREEZE,MADPFMDFYTIME,MAVPFMDFYBY,MACIGNRTRTN,MACIGNRJN,MANDVSNIC,MANZONEIC,MACMNTCFREEZE,MADMNTCMDFYTIME,MAVMNTCMDFYBY,MACSHAREFLAG,MAVADDEDBY,MADADDEDDATE,MACCOARPTNGFLAG,MADVALIDFROM,MADVALIDTO,MANLATITUDE,MANLONGITUDE,MAVREFSTTN_I,MAVREFSTTN_II,MAVREFSTTN_III,MANMILEPOSTKM_I,MANMILEPOSTSUBKM_I,MANMILEPOSTKM_II,MANMILEPOSTSUBKM_II,MANMILEPOSTKM_III,MANMILEPOSTSUBKM_III,MAVSTATECODE
KTV,KOTTAVALASA JN.,WAT,B,Y,N,N,N,VIZIANAGARAM,VISAKHAPATNAM,R2,MACL,N,Y,N,N,N,9190,11786,9/14/2024,ECORZN4,TL,0,0,"G,C",O,Y,9/14/2024,ECORZN4,N,N,0,0,N,11/21/2013,SATS,N,SATS,10/13/2015,Y,8/15/2018,12/31/2099,17.89,83.19,HWH,VSKP,,852,934,26,0,0,0,AP
KUK,KORU KONDA,WAT,B,N,N,N,N,VIZIANAGARAM,VIZIANAGARAM,R2,MACL,N,Y,N,N,Y,9318,11679,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,SATS,10/13/2015,Y,8/15/2018,12/31/2099,18.05,83.32,HWH,VSKP,,828,840,50,0,0,0,AP
NML,NELLIMARLA,WAT,B,N,N,N,N,VIZIANAGARAM,VIZIANAGARAM,R3,MACL,N,Y,N,N,Y,9400,11605,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,12/6/2012,Y,8/15/2018,12/31/2099,18.19,83.46,HWH,VSKP,,806,464,72,0,0,0,AP
NWP,NAUPADA JN.,WAT,B,Y,N,N,N,SRIKAKULAM,SRIKAKULAM,R3,MACL,Y,Y,N,N,Y,9625,11363,7/15/2024,WAT1,BT,0,0,"G,C",O,Y,7/15/2024,WAT1,Y,N,0,0,N,11/21/2013,SATS,N,RSM,11/21/2013,Y,8/15/2018,12/31/2099,18.58,84.28,HWH,VSKP,,701,581,2,0,0,0,AP
PDU,PONDURU,WAT,B,N,N,N,N,SRIKAKULAM,SRIKAKULAM,R3,MACL,N,Y,N,N,Y,9491,11507,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,12/7/2012,Y,8/15/2018,12/31/2099,18.36,83.78,HWH,VSKP,,764,193,2,0,0,0,AP
PSA,PALASA,KUR,B,N,N,N,Y,SRIKAKULAM,SRIKAKULAM,S3,MACL,N,Y,N,Y,N,9701,11273,9/19/2023,ECORZN3,NA,120,180,"C,G",O,N,9/19/2023,ECORZN3,N,N,1,0,N,11/21/2013,SATS,N,ECOR,12/10/2012,Y,8/15/2018,12/31/2099,18.76,84.42,HWH,,,676,0,0,0,0,0,AP
PUN,PUNDI,WAT,B,N,N,N,N,SRIKAKULAM,SRIKAKULAM,R3,MACL,N,Y,N,N,Y,9664,11316,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,12/7/2012,Y,8/15/2018,12/31/2099,18.67,84.37,HWH,VSKP,,688,338,2,0,0,0,AP
RMZ,ROUTHPURAM HALT,WAT,D,N,N,Y,N,SRIKAKULAM,SRIKAKULAM,NA,NA,N,N,N,N,Y,9646,11338,7/15/2024,WAT1,NA,0,0,"C,G",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,SATS,7/12/2012,N,8/15/2018,12/31/2099,18.62,84.34,,,,694,500,0,0,0,0,AP
SGDM,SIGADAM,WAT,B,N,N,N,N,SRIKAKULAM,SRIKAKULAM,R3,MACL,N,Y,N,N,Y,9469,11531,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,12/7/2012,Y,8/15/2018,12/31/2099,18.36,83.68,HWH,VSKP,,774,260,2,0,0,0,AP
TIU,TILARU,WAT,B,N,N,N,N,SRIKAKULAM,SRIKAKULAM,R3,MACL,N,Y,N,N,Y,9566,11427,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,11/22/2013,Y,8/15/2018,12/31/2099,18.47,84.07,HWH,VSKP,,729,218,2,0,0,0,AP
ULM,URLAM,WAT,B,N,N,N,N,SRIKAKULAM,SRIKAKULAM,R3,MACL,N,Y,N,N,Y,9545,11449,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,N,N,0,0,N,11/21/2013,SATS,N,RSM,12/7/2012,Y,8/15/2018,12/31/2099,18.44,83.99,HWH,VSKP,,738,853,2,0,0,0,AP
VZM,VIZIANAGARAM JN.,WAT,B,Y,N,N,N,VIZIANAGARAM,VIZIANAGARAM,S3,MACL,N,Y,N,N,Y,9375,11632,7/15/2024,WAT1,TL,0,0,"G,C",O,Y,7/15/2024,WAT1,Y,N,0,0,N,11/21/2013,SATS,N,SATS,10/13/2015,Y,8/15/2018,12/31/2099,18.11,83.4,HWH,VSKP,,818,390,60,0,0,0,AP
